val_wer,val_edit_distance,val_normalised_edit_distance,epoch,step
70.4000015258789,2.4200000762939453,0.18847396969795227,0,312
60.79999923706055,1.5859999656677246,0.12500548362731934,1,625
50.29999923706055,1.4079999923706055,0.11089736968278885,2,938
39.900001525878906,0.996999979019165,0.07924582064151764,3,1251
43.5,1.4709999561309814,0.1090727150440216,4,1564
46.900001525878906,1.7940000295639038,0.13101500272750854,5,1877
37.70000076293945,1.2699999809265137,0.09323378652334213,6,2190
